Hospital Name,Type,Sum of Per Visit,Operation Hour,Rating,Phone Number,Address
Al Islam Specialist Hospital,Private hospital,490,Open 24 hour,4.4,03-2693 1007,"85, Jalan Raja Abdullah"
Columbia Asia Hospital - Setapak,Private hospital,66000,Open 24 hour,4.8,03-4145 9999,"No. 1, Jalan Danau Saujana"
Damai Service Hospital HQ,Private hospital,185,Open 24 hour,3.8,03-4043 4900,"1st Mile, 109-119, Jln Sultan Azlan Shah"
Gleneagles Hospital Kuala Lumpur,Private hospital,45000,Open 24 hour,4.5,03-4141 3000,"282, 286 & 288 Block A, B and Medical Office Block, Jln Ampang"
Hospital Canselor Tuanku Muhriz UKM,University hospital,17000,Open 24 hour,3.6,03-9145 5555,"Cheras, Federal Territory of Kuala Lumpur"
Hospital Pakar Pusrawi Kuala Lumpur,Private hospital,553,Open 24 hour,4.2,03-2687 5000,"Lot 149, Jln Tun Razak"
Institute of Respiratory Medicine,Specialized hospital,109,Closes 5 pm,3.4,03-4023 2966,Federal Territory of Kuala Lumpur
KMI Taman Desa Medical Centre,Private hospital,13000,Open 24 hour,4.6,03-7982 6500,"45, Jalan Desa, Off, Old Klang Rd"
KPJ Sentosa KL Specialist Hospital,Private hospital,15000,Open 24 hour,4.6,03-4043 7166,"Kompleks Damai, 36, Jalan Chemur"
KPJ Tawakkal KL Specialist Hospital,Private hospital,1000,Open 24 hour,4.0,03-4026 7777,"1, Jalan Pahang Barat"
Kuala Lumpur Hospital,Government hospital,15000,Open 24 hour,3.4,03-2615 5555,Jalan Pahang
Lourdes Medical Centre,Private hospital,119,Open 24 hours,2.4,011-5168 9697,Jln Sultan Azlan Shah
Pantai Hospital Ampang,Private hospital,32000,Open 24 hour,4.8,03-4289 2828,Jalan Perubatan 1
Pantai Hospital Cheras,Private hospital,3000,Closes 8 pm,4.7,03-9145 2888,"1, Jalan 1/96a"
Pantai Hospital Kuala Lumpur,Private hospital,41000,Open 24 hour,4.4,03-2296 0888,"8, Jalan Bukit Pantai"
Prince Court Medical Centre,Private hospital,47000,Open 24 hour,4.5,03-2160 0000,"39, Jalan Kia Peng"
Pusat Perubatan Sunway Velocity,Private hospital,16000,Open 24 hour,4.3,03-9772 9191,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
Sunway Medical Centre Velocity (SMCV),Private hospital,16000,Open 24 hour,4.3,03-9772 9191,"Pusat Perubatan Sunway Velocity, Lingkaran SV2"
Tung Shin Hospital,Private hospital,1000,Open 24 hour,3.5,03-2037 2288,"102, Jln Pudu"
Tunku Azizah Hospital (Kuala Lumpur Women and Children Hospital),Children's hospital,550,Open 24 hour,2.8,03-2600 3000,"lot 25, Jalan Raja Muda Abdul Aziz"
UM Specialist Centre (UMSC),Private hospital,12000,Closes 8 pm,4.0,03-7841 4000,"UM Specialist Centre (UMSC, Lot 28, Lorong Universiti"
